GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
note,com.jundaai.note.form.folder,FolderUpdateForm.FolderUpdateFormBuilder,8,28,0,0,0,1,1,5,1,5
note,com.jundaai.note.form.folder,FolderCreationForm,52,24,12,0,0,5,8,6,2,6
note,com.jundaai.note.form.folder,FolderCreationForm.FolderCreationFormBuilder,4,14,0,0,0,1,1,3,1,3
note,com.jundaai.note.form.folder,FolderUpdateForm,118,44,28,0,0,7,17,9,3,9
note,com.jundaai.note.form.tag,TagUpdateForm.TagUpdateFormBuilder,4,14,0,0,0,1,1,3,1,3
note,com.jundaai.note.form.tag,TagUpdateForm,52,24,12,0,0,5,8,6,2,6
note,com.jundaai.note.form.tag,TagCreationForm.TagCreationFormBuilder,4,14,0,0,0,1,1,3,1,3
note,com.jundaai.note.form.tag,TagCreationForm,52,24,12,0,0,5,8,6,2,6
note,com.jundaai.note.exception,FolderNameBlankException,0,4,0,0,0,2,0,1,0,1
note,com.jundaai.note.exception,FolderNotFoundException,0,5,0,0,0,2,0,1,0,1
note,com.jundaai.note.exception,TagNameConflictException,0,5,0,0,0,2,0,1,0,1
note,com.jundaai.note.exception,TagNotFoundException,0,5,0,0,0,2,0,1,0,1
note,com.jundaai.note.exception,NoteNameConflictException,0,5,0,0,0,2,0,1,0,1
note,com.jundaai.note.exception,FolderNameConflictException,0,5,0,0,0,2,0,1,0,1
note,com.jundaai.note.exception,NoteNotFoundException,0,5,0,0,0,2,0,1,0,1
note,com.jundaai.note.exception,BadRequestException,0,4,0,0,0,2,0,1,0,1
note,com.jundaai.note.exception,RootPreservationException,0,5,0,0,0,2,0,1,0,1
note,com.jundaai.note.service,FolderService,0,354,0,23,0,94,0,26,0,14
note,com.jundaai.note.service,TagService,0,200,1,7,0,53,1,16,0,13
note,com.jundaai.note.service,NoteService,0,496,0,20,0,138,0,29,0,17
note,com.jundaai.note.controller,FolderController,0,118,0,0,0,28,0,8,0,8
note,com.jundaai.note.controller,TagController,0,115,0,0,0,28,0,8,0,8
note,com.jundaai.note.controller,NoteController,0,132,0,0,0,31,0,9,0,9
note,com.jundaai.note.config,LoadDatabase,0,156,0,0,0,57,0,4,0,4
note,com.jundaai.note,NoteApplication,5,3,0,0,2,1,1,1,1,1
note,com.jundaai.note.model.assembler,TagModelAssembler,0,37,0,0,0,5,0,3,0,3
note,com.jundaai.note.model.assembler,FolderModelAssembler,15,42,1,1,3,7,1,3,0,3
note,com.jundaai.note.model.assembler,NoteModelAssembler,0,52,0,0,0,6,0,3,0,3
note,com.jundaai.note.model,Tag,117,168,40,14,0,9,28,16,2,15
note,com.jundaai.note.model,Note.NoteBuilder,16,56,0,0,0,1,1,9,1,9
note,com.jundaai.note.model,Folder,153,212,53,17,0,11,35,21,2,19
note,com.jundaai.note.model,Folder.FolderBuilder,16,56,0,0,0,1,1,9,1,9
note,com.jundaai.note.model,Tag.TagBuilder,12,42,0,0,0,1,1,7,1,7
note,com.jundaai.note.model,Note,182,187,59,11,0,11,38,18,3,18
note,com.jundaai.note.form.note,NoteCreationForm.NoteCreationFormBuilder,6,21,0,0,0,1,1,4,1,4
note,com.jundaai.note.form.note,NoteUpdateForm.NoteUpdateFormBuilder,12,42,0,0,0,1,1,7,1,7
note,com.jundaai.note.form.note,NoteUpdateForm,188,60,44,0,0,9,27,11,5,11
note,com.jundaai.note.form.note,NoteCreationForm,83,36,20,0,0,6,12,8,2,8
